# Engine name: Sugar Rocket
# Tue Mar 14 00:46:59 2023
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, MPa  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1.9140      0.3881      0.0000      4.0000      0.0000   1516.0486     39.5142      1.1513      1.1134    855.4908    112.1215    131.3371      1.4237      1.6343      0.8805 
     1.9140      0.3899      0.0000      4.0000      0.0000   1516.2716     39.5169      1.1513      1.1134    855.5577    112.1331    131.3480      1.4237      1.6343      0.8805 
     1.9140      0.3917      0.0000      4.0000      0.0000   1516.4934     39.5197      1.1512      1.1135    855.6242    112.1446    131.3589      1.4237      1.6342      0.8806 
     1.9140      0.3935      0.0000      4.0000      0.0000   1516.7140     39.5224      1.1512      1.1135    855.6903    112.1561    131.3697      1.4237      1.6342      0.8806 
     1.9140      0.3953      0.0000      4.0000      0.0000   1516.9334     39.5251      1.1511      1.1135    855.7562    112.1676    131.3805      1.4237      1.6342      0.8807 
     1.9140      0.3971      0.0000      4.0000      0.0000   1517.1517     39.5278      1.1510      1.1135    855.8217    112.1789    131.3912      1.4237      1.6342      0.8807 
     1.9140      0.3989      0.0000      4.0000      0.0000   1517.3688     39.5305      1.1510      1.1136    855.8868    112.1902    131.4018      1.4237      1.6342      0.8808 
     1.9140      0.4007      0.0000      4.0000      0.0000   1517.5847     39.5332      1.1509      1.1136    855.9517    112.2014    131.4124      1.4237      1.6342      0.8808 
     1.9140      0.4025      0.0000      4.0000      0.0000   1517.7994     39.5358      1.1509      1.1136    856.0162    112.2126    131.4229      1.4237      1.6342      0.8809 
     1.9140      0.4043      0.0000      4.0000      0.0000   1518.0131     39.5385      1.1508      1.1136    856.0803    112.2237    131.4334      1.4237      1.6342      0.8810 
     1.9140      0.4061      0.0000      4.0000      0.0000   1518.2256     39.5411      1.1508      1.1136    856.1442    112.2347    131.4438      1.4237      1.6341      0.8810 
     1.9140      0.4079      0.0000      4.0000      0.0000   1518.4370     39.5437      1.1507      1.1137    856.2077    112.2457    131.4541      1.4237      1.6341      0.8811 
     1.9140      0.4097      0.0000      4.0000      0.0000   1518.6473     39.5463      1.1507      1.1137    856.2710    112.2566    131.4644      1.4237      1.6341      0.8811 
     1.9140      0.4115      0.0000      4.0000      0.0000   1518.8565     39.5489      1.1506      1.1137    856.3339    112.2675    131.4746      1.4237      1.6341      0.8812 
     1.9140      0.4133      0.0000      4.0000      0.0000   1519.0646     39.5515      1.1506      1.1137    856.3965    112.2783    131.4848      1.4237      1.6341      0.8812 
     1.9140      0.4151      0.0000      4.0000      0.0000   1519.2716     39.5541      1.1505      1.1138    856.4588    112.2890    131.4949      1.4237      1.6341      0.8813 
     1.9140      0.4169      0.0000      4.0000      0.0000   1519.4776     39.5566      1.1505      1.1138    856.5208    112.2997    131.5050      1.4237      1.6341      0.8813 
     1.9140      0.4187      0.0000      4.0000      0.0000   1519.6825     39.5592      1.1504      1.1138    856.5825    112.3103    131.5150      1.4237      1.6341      0.8814 
     1.9140      0.4205      0.0000      4.0000      0.0000   1519.8864     39.5617      1.1503      1.1138    856.6439    112.3209    131.5249      1.4237      1.6340      0.8814 
     1.9140      0.4223      0.0000      4.0000      0.0000   1520.0892     39.5642      1.1503      1.1138    856.7050    112.3314    131.5349      1.4237      1.6340      0.8815 
     1.9140      0.4241      0.0000      4.0000      0.0000   1520.2910     39.5667      1.1502      1.1139    856.7658    112.3419    131.5447      1.4237      1.6340      0.8815 
